Lcom/kaf,Lcom/kaf,Unknown,174,,,task_00000_to_00103/000002/000242FA8603F36DF2D467A59495B54F289F7181FF34B595B736CD017CEE2CF5
Lcom/cauly,Lcom/cauly,Unknown,70,,,task_00000_to_00103/000002/000242FA8603F36DF2D467A59495B54F289F7181FF34B595B736CD017CEE2CF5
Lbutterknife,Lbutterknife,butterknife UI Framework,2775,GUI Component,https://github.com/JakeWharton/butterknife,task_00000_to_00103/000002/0002473243E870D170B15C78A0E3B1B87D2E95543DC7F5A69987757A5E7A48A1
Lmono,Lmono,,2387,,no,task_00000_to_00103/000002/00024FBE18C852715EAE7AA281C08D2784096B5947E3BD61D0F6851E27886BFF
Lmono/android,Lmono/com/microsoft/appcenter,Mono for Android,4445,Development Aid,http://www.mono-project.com/,task_00000_to_00103/000002/00024FBE18C852715EAE7AA281C08D2784096B5947E3BD61D0F6851E27886BFF
Lbolts,Lbolts,Bolts Base Library,8052,Development Aid,https://github.com/BoltsFramework/Bolts-Android,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/loopj,Lcom/loopj,Loopj,9679,Development Aid,https://github.com/loopj/android-async-http,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/smtt,Lcom/tencent/smtt,Tencent X5 (SMTT),1135,Social Network,http://x5.tencent.com/tbs/guide/sdkInit.html,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/bugly,Lcom/tencent/bugly,Bugly,366,Mobile Analytics,https://bugly.qq.com/,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/connect,Lcom/tencent/connect,Tencent Login,1562,Social Network,https://connect.qq.com,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/mm,Lcom/tencent/mm,Tencent Wechat,28008,Social Network,https://open.weixin.qq.com/,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/wxop,Lcom/tencent/wxop,tencent weixin Open(Share),25991,Social Network,https://open.weixin.qq.com/,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/amap,Lcom/amap,Alibaba Amap,887,Map/LBS,https://lbs.amap.com/,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/autonavi/aps/amapapi,Lcom/autonavi/aps/amapapi,AMAP autonavi API,5104,Map/LBS,https://lbs.amap.com/,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/enhance,Lcom/enhance,Unknown,6606,,,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/a,Lcom/tencent/a,Unknown,109724,,,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/tencent/apollo,Lcom/tencent/apollo,Unknown,150,,,task_00000_to_00103/000002/00028662653690DEBBF48C8DBD5A7B8E03EAEAF6BBF326E6E5E0F4C10A7E4792
Lcom/viewpagerindicator,Lcom/viewpagerindicator,Android Viewpagerindicator Widget,1546,Development Aid,https://github.com/JakeWharton/ViewPagerIndicator,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lcom/nostra13,Lcom/nostra13,Nostra13 Image Loading,147088,Development Aid,https://github.com/nostra13/Android-Universal-Image-Loader,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Landroid/content/pm,Landroid/content/pm,Android Package management,70,Development Aid,https://developer.android.com/reference/android/content/pm/package-summary.html,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Landroid/support/v13,Landroid/support/v13,Android Support v13,780,Development Aid,https://developer.android.com/reference/android/support/v13/app/package-summary.html,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Landroid/support/design,Landroid/support/design,Android Support Design,102,Development Aid,https://developer.android.com/reference/android/support/design/package-summary.html,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/browser/root/ui/image,Lorg/test/flashtest/browser/root/ui/image,Unknown,25,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/browser/root/b,Lorg/test/flashtest/browser/root/b,Unknown,38,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/browser/a,Lorg/test/flashtest/browser/a,Unknown,26,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/openintents/widget,Lorg/test/flashtest/todo/widgets,Unknown,35,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/calc/a,Lorg/test/flashtest/calc/a,Unknown,25,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/serviceback/interfaces,Lorg/test/flashtest/serviceback/interfaces,Unknown,38,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/b,Lorg/test/flashtest/b,Unknown,23,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/fingerpainter/a,Lorg/test/flashtest/fingerpainter/a,Unknown,38,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/util/a,Lorg/test/flashtest/util/a,Unknown,26,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/test/flashtest/viewer/text/a,Lorg/test/flashtest/viewer/text/a,Unknown,31,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/ftpclient/a,Lorg/ftpclient/a,Unknown,23,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/ftpclient/c,Lorg/ftpclient/c,Unknown,42,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lorg/http/b/b,Lorg/http/b/b,Unknown,26,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lcom/devsmart/android/ui,Lcom/devsmart/android/ui,Unknown,20,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lcom/diskusage/opengl,Lcom/diskusage/opengl,Unknown,25,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lmediaextract/org/apache/sanselan/common,Lmediaextract/org/apache/sanselan/common,Unknown,53,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lmediaextract/org/apache/sanselan/formats/jpeg,Lmediaextract/org/apache/sanselan/formats/jpeg,Unknown,53,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lmediaextract/org/apache/sanselan/formats/tiff,Lmediaextract/org/apache/sanselan/formats/tiff,Unknown,36,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lmediaextract/org/apache/sanselan/formats/png,Lmediaextract/org/apache/sanselan/formats/png,Unknown,38,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lmediaextract/org/apache/sanselan/util,Lmediaextract/org/apache/sanselan/util,Unknown,38,,,task_00000_to_00103/000002/0002969B2A8C8DA0760181718F2058552AD3A6A49D678DD659A931B9E3933B6D
Lcom/parse,Lcom/parse,Parse.com,2080,Mobile Analytics,https://parse.com/docs/cn/android/guide,task_00000_to_00103/000002/0002AE4D2CC7B678CCB2EB230E76D825922ECA80E05AEC60F9A0314FC0479CE9
Lcom/fasterxml,Lcom/fasterxml,Fasterxml,600,Utility,http://fasterxml.com/,task_00000_to_00103/000002/0002AE4D2CC7B678CCB2EB230E76D825922ECA80E05AEC60F9A0314FC0479CE9
